,label,min_A,min_B,min_C,min_D,path
0,A,430518.24321414606,1040658.0493348743,480784.4269280995,769554.6487197201,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\0.jpg
0,A,443193.1799923084,1022544.45694733,473253.73627066,769524.7705036494,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\1.jpg
0,A,425763.1795309474,1022095.0363244935,462387.2668358272,754951.768981158,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\10.jpg
0,A,432581.12856593414,1056573.945221072,488478.9501422481,797797.8094886548,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\100.jpg
0,A,436317.3903729315,1054647.996201464,490983.48859668866,790883.2949327147,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\101.jpg
0,A,459257.21105728403,872120.069404078,494664.9655517057,799379.0024298314,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\102.jpg
0,A,450851.19454055943,874974.8615609397,514083.6309265622,817326.3914186842,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\103.jpg
0,A,507683.1424836577,1173864.3980315302,645978.8985159523,975373.5353633197,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\104.jpg
0,A,422860.0341714703,1044593.5140330673,468674.98778930656,752756.7568934992,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\105.jpg
0,A,420835.0812302938,1016179.1714725137,467589.1416070692,757258.3352556676,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\106.jpg
0,A,419872.12462898716,721285.4904575183,468885.2054594336,733255.042291427,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\107.jpg
0,A,414842.6357400994,754776.8633141116,477826.7534179112,732219.7078046901,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\108.jpg
0,A,438796.3128796599,1096469.1386082317,486094.48958092567,789458.8732487472,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\109.jpg
0,A,429992.02658977086,1004029.3922645167,461167.7202614328,740724.9718877322,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\11.jpg
0,A,507670.15384851675,1102579.9980315294,568835.1719800034,890869.8385544,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\110.jpg
0,A,432738.91641676036,1042171.4473202641,464791.1785620864,750395.0763860022,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\111.jpg
0,A,449182.11678584956,971322.4815378734,483983.3716416715,683846.9834678954,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\112.jpg
0,A,425185.7905267186,1038973.132072283,468784.881906954,753629.4284967289,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\113.jpg
0,A,426199.20944251993,1035251.3691964659,558142.3595540135,838411.0510111477,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\114.jpg
0,A,429705.68933486857,1029036.1895424871,462748.19581698824,749173.2800768901,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\115.jpg
0,A,427290.5354709705,1042356.2105805492,471111.9620146044,753881.9779776976,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\116.jpg
0,A,423199.0758785061,1025330.6143790878,464768.2977316364,747409.0549788511,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\117.jpg
0,A,423224.58077662205,1021825.8800153822,463375.12504420814,723080.3339177202,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\118.jpg
0,A,426645.2709727007,1031030.0450903533,470482.97733179043,758765.3222145292,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\119.jpg
0,A,427974.58861975925,1033247.1319800114,464710.5341791567,757895.7800538223,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\12.jpg
0,A,418754.0995309478,925347.093856214,458723.2296808869,748431.354586694,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\120.jpg
0,A,489361.8257131854,1040335.5019300313,490843.9068819638,721749.6251903106,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\121.jpg
0,A,417537.8285274873,1014193.3058515984,466436.85930026375,737084.7956478242,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\122.jpg
0,A,424962.7172472108,1040325.81648597,458250.18282198644,747634.7753633185,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\123.jpg
0,A,433573.1580930394,1053782.45625529,465519.7832372114,747597.2204229112,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\124.jpg
0,A,421144.0951018818,1028839.1848827408,468417.17164167104,764437.377285656,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\13.jpg
0,A,424341.87338715664,1041523.3950326828,472689.1238908062,763128.4819223344,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\14.jpg
0,A,444931.98545174673,1044022.65777778,516019.30595924176,819457.5091426343,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\15.jpg
0,A,419736.2035217202,1038571.4909957742,459527.3205843854,753718.8640830416,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\16.jpg
0,A,433749.0159477108,1030168.2891195724,486400.0289888456,771572.7684429033,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\17.jpg
0,A,531710.3563860033,1278085.4721722475,564326.6783544746,918514.7317647032,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\18.jpg
0,A,411402.34502114344,1007564.0260976576,480814.8271126439,771094.8330180664,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\19.jpg
0,A,423089.47507881385,1048557.5706728216,476196.19438676955,757687.0236524381,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\2.jpg
0,A,412264.848196846,987813.5494040784,471208.4069357887,745331.7093733145,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\20.jpg
0,A,433702.4889657801,1079604.6462898925,475578.19369472767,765427.9466051486,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\21.jpg
0,A,445240.56601307006,1069105.6485505607,493142.8420607411,782832.5553710079,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\22.jpg
0,A,427258.4358169914,1058774.3698885078,477306.56975009106,761274.7979546296,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\23.jpg
0,A,433042.25920799456,1046100.106005386,748951.8163936937,1031738.7024221433,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\24.jpg
0,A,538875.5966013052,1365670.7834986602,636348.677908493,990503.5051903091,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\25.jpg
0,A,426825.35507881385,1055484.9738562123,470813.1349634706,762712.9961245641,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\26.jpg
